Date,Close,High,Low,Open,Volume
10-11-2015,336.819,381.387,329.108,379.984,95797904
11-11-2015,311.084,340.585,300.997,339.82,107070000
12-11-2015,338.152,345.081,313.356,314.079,78477800
13-11-2015,336.753,340.914,326.075,338.498,52003000
14-11-2015,332.906,338.181,329.97,336.624,38612000
15-11-2015,320.166,334.662,317.49,333.051,44213100
16-11-2015,330.751,331.626,315.905,319.735,47980100
17-11-2015,335.094,338.35,329.614,330.362,51001600
18-11-2015,334.59,336.531,330.64,334.593,43783800
19-11-2015,326.149,335.334,325.273,334.679,45011100
20-11-2015,322.022,326.473,312.217,326.411,53152900
21-11-2015,326.927,328.159,319.595,322.092,28200500
22-11-2015,324.536,327.01,321.259,326.975,23439400
23-11-2015,323.046,325.118,321.29,324.35,27478900
24-11-2015,320.046,323.058,318.118,323.014,29362600
25-11-2015,328.206,329.134,316.77,320.045,41666900
26-11-2015,352.684,366.757,328.229,328.303,106105000
27-11-2015,358.042,363.589,347.87,351.861,55179100
28-11-2015,357.381,359.536,352.172,357.141,36816600
29-11-2015,371.294,371.939,355.666,357.472,40409300
30-11-2015,377.321,382.363,370.383,371.437,71701600
01-12-2015,362.488,378.931,356.563,377.414,60452200
02-12-2015,359.187,362.232,349.465,361.845,54160500
03-12-2015,361.046,370.275,357.412,359.331,50714900
04-12-2015,363.183,363.516,355.757,361.262,35784100
05-12-2015,388.949,389.785,363.229,363.721,66282200
06-12-2015,388.783,402.809,387.089,389.555,77762000
07-12-2015,395.536,399.969,385.411,389.978,63455800
08-12-2015,415.563,415.563,389.95,395.754,57801400
09-12-2015,417.563,423.12,406.291,414.441,90917200
10-12-2015,415.479,419.509,411.548,417.988,52138900
11-12-2015,451.938,451.938,415.281,415.281,110944000
12-12-2015,434.997,469.103,410.741,452.335,131969000
13-12-2015,433.755,441.68,426.268,431.66,55050600
14-12-2015,444.182,447.142,430.456,433.272,130496000
15-12-2015,465.321,465.321,443.878,443.878,83121104
16-12-2015,454.934,465.208,443.851,465.208,107944000
17-12-2015,456.078,457.86,448.858,454.777,47978400
18-12-2015,463.616,465.177,454.94,455.847,60220100
19-12-2015,462.322,465.581,456.765,463.552,47892700
20-12-2015,442.685,462.645,434.338,462.234,75409400
21-12-2015,438.639,444.729,427.312,442.838,77639696
22-12-2015,436.572,443.688,435.516,437.436,50840400
23-12-2015,442.401,444.529,436.619,436.72,47161400
24-12-2015,454.985,458.456,443.077,443.091,57157200
25-12-2015,455.653,458.305,452.075,454.855,39078500
26-12-2015,417.274,457.489,405.76,455.756,116166000
27-12-2015,422.823,424.007,408.883,416.514,53591200
28-12-2015,422.279,429.769,418.481,423.343,49638600
29-12-2015,432.983,432.983,420.627,422.098,51596500
30-12-2015,426.62,434.387,422.084,433.3,46889400
31-12-2015,430.567,432.921,418.735,425.875,45996600
01-01-2016,434.334,436.246,427.515,430.721,36278900
02-01-2016,433.438,436.062,431.87,434.622,30096600
03-01-2016,430.011,433.743,424.706,433.578,39633800
04-01-2016,433.091,434.517,429.084,430.061,38477500
05-01-2016,431.96,434.182,429.676,433.069,34522600
06-01-2016,429.105,431.856,426.341,431.856,34042500
07-01-2016,458.048,458.766,429.077,430.011,87562200
08-01-2016,453.23,462.934,447.938,457.538,56993000
09-01-2016,447.611,454.64,446.889,453.383,32278000
10-01-2016,447.991,448.309,440.351,448.238,35995900
11-01-2016,448.428,450.662,443.855,448.698,40450000
12-01-2016,435.69,448.182,435.69,448.182,115607000
13-01-2016,432.371,435.186,424.443,434.665,173888000
14-01-2016,430.306,433.324,427.845,432.288,43945500
15-01-2016,364.331,430.255,364.331,430.255,153351008
16-01-2016,387.536,390.557,354.914,365.073,120352000
17-01-2016,382.299,390.965,380.092,387.152,45319600
18-01-2016,387.168,388.104,376.665,381.733,54403900
19-01-2016,380.149,387.73,378.972,387.026,46819800
20-01-2016,420.23,425.267,376.599,379.74,121720000
21-01-2016,410.262,422.877,406.3,419.632,68338000
22-01-2016,382.492,410.41,375.282,409.751,91546600
23-01-2016,387.491,394.543,381.981,382.434,56247400
24-01-2016,402.971,405.485,387.51,388.102,54824800
25-01-2016,391.726,402.317,388.554,402.317,59062400
26-01-2016,392.153,397.766,390.575,392.002,58147000
27-01-2016,394.972,396.843,391.782,392.444,47424400
28-01-2016,380.289,395.502,379.735,395.146,59247900
29-01-2016,379.474,384.379,365.452,380.108,86125296
30-01-2016,378.255,380.917,376.491,378.865,30284400
31-01-2016,368.767,380.347,367.835,378.293,37894300
01-02-2016,373.056,378.072,367.957,369.35,51656700
02-02-2016,374.448,375.883,372.92,372.92,40378700
03-02-2016,369.949,374.95,368.045,374.646,45933400
04-02-2016,389.594,391.608,369.993,370.174,69285504
05-02-2016,386.549,391.094,385.572,388.898,43825000
06-02-2016,376.522,386.631,372.387,386.589,49249300
07-02-2016,376.62,380.871,374.903,376.514,37076300
08-02-2016,373.447,379.879,373.334,376.757,47671100
09-02-2016,376.029,377.246,372.898,373.423,55318500
10-02-2016,381.649,385.483,375.783,376.146,85130896
11-02-2016,379.654,383.13,376.399,382.114,74375600
12-02-2016,384.263,384.954,379.6,379.686,67042800
13-02-2016,391.86,391.86,384.641,384.641,61911700
